Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Operation,Length,Shape,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Allocated,Alloc Ratio
Current,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,32,Mixed,29.621 ns,2.3810 ns,0.6183 ns,1.00,0.03,0.0047,80 B,1.00
Builder,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,32,Mixed,31.161 ns,1.9523 ns,0.3021 ns,1.05,0.02,0.0046,80 B,1.00
Buffer,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,32,Mixed,28.768 ns,1.6624 ns,0.4317 ns,0.97,0.02,0.0047,80 B,1.00
Current,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,32,Unicode,41.041 ns,7.4438 ns,1.9331 ns,1.00,0.06,0.0046,80 B,1.00
Builder,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,32,Unicode,42.984 ns,4.9017 ns,1.2730 ns,1.05,0.05,0.0045,80 B,1.00
Buffer,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,32,Unicode,36.593 ns,3.1832 ns,0.8267 ns,0.89,0.04,0.0046,80 B,1.00
Current,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,4096,Clean,71.485 ns,3.2981 ns,0.5104 ns,1.00,0.01,0.0000,0 B,NA
Builder,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,4096,Clean,69.248 ns,9.4481 ns,2.4536 ns,0.97,0.03,0.0000,0 B,NA
Buffer,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,4096,Clean,73.026 ns,1.5182 ns,0.3943 ns,1.02,0.01,0.0000,0 B,NA
Current,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,4096,Late,259.070 ns,23.6722 ns,6.1476 ns,1.00,0.03,0.4893,8216 B,1.00
