Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Operation,Length,Shape,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Allocated,Alloc Ratio
Current,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Clean,351.145 ns,28.0170 ns,7.2759 ns,1.00,0.03,0.0624,1064 B,1.00
Integrated,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Clean,294.049 ns,32.5200 ns,8.4453 ns,0.84,0.03,0.0632,1064 B,1.00
Current,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Late,337.938 ns,35.6407 ns,5.5154 ns,1.00,0.02,0.0622,1056 B,1.00
Integrated,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Late,297.181 ns,15.2139 ns,3.9510 ns,0.88,0.02,0.0626,1056 B,1.00
Current,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Mixed,313.944 ns,20.6507 ns,3.1957 ns,1.00,0.01,0.0356,632 B,1.00
Integrated,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Mixed,244.108 ns,27.2656 ns,4.2194 ns,0.78,0.01,0.0370,632 B,1.00
Current,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Unicode,362.067 ns,37.7654 ns,9.8075 ns,1.00,0.04,0.0035,80 B,1.00
Integrated,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Unicode,338.304 ns,20.7129 ns,3.2053 ns,0.93,0.03,0.0033,80 B,1.00
Current,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,4096,Clean,"2,445.944 ns",201.5877 ns,52.3517 ns,1.00,0.03,0.4823,8232 B,1.00
Integrated,Job-ZNVNAZ,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,4096,Clean,"2,020.323 ns",331.3999 ns,86.0635 ns,0.83,0.04,0.4817,8232 B,1.00
